ASSEMBLY_RUN,SAMPLE_NAME,ct_modified,Prefilt_reads,set,ASSEMBLY_QUALITY
FAP69881_01,PV44061,NA,31,ALL,Failed
FAP69881_01,PV44062,NA,2680,ALL,Passed
FAP95402_01,PV44064,NA,455,ALL,Passed
FAP95402_01,PV44066,NA,456,ALL,Passed
FAP95402_01,PV44068,NA,594,ALL,Passed
FAP95402_01,PV44072,NA,461,ALL,Passed
FAP95402_01,PV44073,NA,202,ALL,Failed
FAP95402_01,PV44076,NA,338,ALL,Passed
FAP95402_01,PV44077,NA,792,ALL,Passed
FAP95402_01,PV44078,NA,1658,ALL,Passed
FAP95402_01,PV44079,NA,921,ALL,Passed
FAP95402_01,PV44081,NA,1031,ALL,Passed
FAP95402_01,PV44084,NA,900,ALL,Passed
FAP95402_01,PV44085,NA,501,ALL,Passed
FAP95402_01,PV44086,NA,685,ALL,Passed
FAP69881_01,PV44090,NA,639,ALL,Passed
FAP69881_01,PV44094,NA,495,ALL,Passed
FAP69881_01,PV44096,NA,2982,ALL,Passed
FAP69881_01,PV44097,NA,450,ALL,Passed
FAP72104_01,PV44103,NA,3244,ALL,Passed
FAP72104_01,PV44104,NA,2521,ALL,Passed
FAP72104_01,PV44106,NA,2285,ALL,Passed
FAP72104_01,PV44107,NA,5960,ALL,Passed
FAP72104_01,PV44108,NA,1241,ALL,Passed
FAP72104_01,PV44112,NA,1373,ALL,Passed
FAP72104_01,PV44113,NA,724,ALL,Failed
FAP72104_01,PV44120,NA,872,ALL,Passed
FAP72104_01,PV44121,NA,2202,ALL,Passed
FAP72104_01,PV44125,NA,4074,ALL,Passed
FAP72104_01,PV44126,NA,3627,ALL,Passed
FAP72104_01,PV44129,NA,3536,ALL,Passed
FAP72104_01,PV44130,NA,9398,ALL,Passed
FAP72104_01,PV44131,NA,4741,ALL,Passed
FAP72104_01,PV44132,NA,2830,ALL,Passed
FAP72104_01,PV44133,NA,8269,ALL,Passed
FAP72104_01,PV44138,NA,4164,ALL,Passed
FAP72104_01,PV44139,NA,1626,ALL,Passed
FAP72104_01,PV44140,NA,623,ALL,Passed
FAP72104_01,PV44141,NA,8895,ALL,Passed
FAP72104_01,PV44147,NA,4868,ALL,Passed
FAP72104_01,PV44148,NA,5197,ALL,Passed
FAP72104_01,PV44149,NA,15495,ALL,Passed
FAP72104_01,PV44150,NA,6086,ALL,Passed
FAP72104_01,PV44153,NA,9619,ALL,Passed
