clade_who,lineage_display.final,ASSEMBLY_PIPELINE,week,n,Frequency
Omicron,BA.5.3.1,SpikeID,2023-02-19,1,0.020833333333333332
Omicron,BA.5.3.1,SpikeID,2022-12-04,4,0.07547169811320754
Omicron,BA.5.3.1,SpikeID,2023-01-29,1,0.01282051282051282
Omicron,BA.5.3.1,SpikeID,2022-10-30,6,0.03870967741935484
Omicron,BA.5.3.1,SpikeID,2022-11-13,8,0.10810810810810811
Omicron,BQ.1,SpikeID,2022-11-06,41,0.3942307692307692
Omicron,BQ.1,SpikeID,2022-12-25,4,0.06666666666666667
Omicron,BQ.1,SpikeID,2022-12-04,12,0.22641509433962265
Omicron,BQ.1,SpikeID,2023-02-12,1,0.030303030303030304
Omicron,BQ.1,SpikeID,2023-02-19,1,0.020833333333333332
Omicron,BQ.1,SpikeID,2022-10-09,8,0.17777777777777778
Omicron,BQ.1,SpikeID,2022-10-30,56,0.36129032258064514
Omicron,BQ.1,SpikeID,2023-01-29,2,0.02564102564102564
Omicron,BQ.1,SpikeID,2022-10-16,4,0.4444444444444444
Omicron,BQ.1,SpikeID,2022-11-20,22,0.3142857142857143
Omicron,BQ.1,SpikeID,2022-10-02,1,0.07692307692307693
Omicron,BQ.1,SpikeID,2022-11-27,22,0.2857142857142857
Omicron,BQ.1,SpikeID,2023-02-26,1,0.04
Omicron,BQ.1,SpikeID,2023-01-01,3,0.25
Omicron,BQ.1,SpikeID,2022-11-13,21,0.28378378378378377
Omicron,BQ.1.1,SpikeID,2022-11-06,21,0.20192307692307693
Omicron,BQ.1.1,SpikeID,2022-10-09,4,0.08888888888888889
Omicron,BQ.1.1,SpikeID,2023-01-15,5,0.07142857142857142
Omicron,BQ.1.1,SpikeID,2022-12-25,8,0.13333333333333333
Omicron,BQ.1.1,SpikeID,2022-11-13,21,0.28378378378378377
Omicron,BQ.1.1,SpikeID,2022-12-04,17,0.32075471698113206
Omicron,BQ.1.1,SpikeID,2023-01-22,2,0.05714285714285714
Omicron,BQ.1.1,SpikeID,2023-01-29,5,0.0641025641025641
Omicron,BQ.1.1,SpikeID,2022-11-20,16,0.22857142857142856
